Id,StudentId,Name,Username,Password,Email,Gender,DateOfBirth,Address,Phone
23d3d336-16d2-4a42-b87b-0e95243c23ff,38054795,Karl Thomas,bfreeman,s4YOJmsq_m,craigjared@example.com,Female,2001-10-05,"34481 Jackson Path Apt. 350, New Davidton, KS 48669",001-348-790-0303x386
6fdd3c6f-6ea7-4877-b636-e893971f2423,51468549,Matthew Salazar,shortjulia,8gi*^SSr^3,nathan56@example.net,Female,2005-02-28,"1835 Guerrero Garden Apt. 884, Lake Russellside, AL 32531",8653045321
4569f4ad-62a7-4118-8af5-455aef7ff27d,36475907,Jennifer Mendoza,testrada,&4NAmqcn)q,mitchelljennifer@example.org,Female,2003-02-09,"613 Mayer Street, Sandrashire, AL 30798",9945929672
7bfd3f0b-cc4c-42ed-a9c0-2c6408e0a426,24545682,Brianna Anderson,hughesdiana,zN_8VBlme&,hendersonzachary@example.net,Male,2005-03-22,"USNV Johnson, FPO AE 91850",751-384-2063x07327
5d5b04a6-9539-4da0-b25f-0518e81f264a,88466498,Lisa Friedman,wayneerickson,f+8WTixfFK,rodriguezlori@example.com,Male,2004-01-04,"9476 Brown Spring, Carrollport, CO 49081",+1-385-816-1554x5148
22163897-5091-40f0-8eaa-2eacf67d277a,57160012,Mike Garcia,christopher06,M8b#l5FzVn,franklin98@example.com,Female,2003-08-12,"3305 Vickie Drives, Timothyfort, FL 47742",(335)662-9744x59715
6e24285e-a147-4f29-a815-e63daac71006,74881656,Heather Ochoa,clarktodd,$p%4DQ!wus,jessicaduncan@example.org,Female,2003-08-28,"9172 Kimberly Tunnel, Millershire, IN 17632",297.342.4178
f39cac6a-ac23-43ef-a124-30976b81ddbf,31823701,Kathy Henry,brenda65,E5SlQ8Nz%7,amyholmes@example.org,Female,2003-05-02,"84015 Herrera Inlet, Davisside, PA 11115",001-889-988-7535x025
6399a7bd-473f-4b84-8919-4f263d6ceb48,36191775,Donna Murphy,jennyjones,v8*Yl3in#2,reidandrew@example.com,Female,2004-04-10,"14224 Anita Rest Apt. 005, Ginaton, HI 18953",(465)751-4686
67edb6ce-0d13-45d6-b4eb-25a8c8195f9c,91286539,Alyssa Robinson,sharonjarvis,_5QKKm7j+E,andrewalters@example.com,Female,2006-08-22,"932 Jason Path Suite 929, East Andrewtown, CA 37471",451.758.1644x95263
a63e58bc-8746-431d-bcf7-3fab8d0f8474,33824601,Dr. Christopher Cain,janewalter,g^5)tDSvh^,tsmith@example.org,Male,2005-03-16,"77730 Ashley Center, East Anthony, CT 79907",+1-367-909-7227x8223
f7b127e2-3a0d-40d1-b0f4-6529719dcef2,51211044,David Tucker,laurenbarton,S!52bXk!cX,dlara@example.net,Female,2002-05-02,"997 Porter Road, Carlaland, MT 72976",725.684.0565x26913
1b2750f8-608b-40f6-966f-2eb816e74cd5,25641405,Tracey Watson,jameswalker,!9$R4ksg&%,fuentesrandy@example.com,Female,2007-06-23,"8525 John Motorway, Port Kellichester, KS 73391",443-546-7412x5022
b388f685-dcbb-4687-b658-2f7f77f78add,64690619,Stephen Turner,turnerkimberly,35CCojPT&r,robin78@example.net,Male,2007-06-29,"06950 Cynthia Camp Suite 545, Port Jimmy, RI 99147",413-809-4026
8e1c9e7f-88e8-4171-b129-309144650158,84504613,David Smith,kmiller,W(o4WBrQ#F,lisa14@example.com,Female,2005-04-18,"50628 Wood Glen Apt. 678, Browntown, ID 52763",780.674.8508x328
